GEO_ID,NAME,H002001,H002001ERR,H002002,H002003,H002004,H002005,H002006
1400000US24005430104,"Census Tract 4301.04, Baltimore County, Maryland",1047,null,1047,1047,0,0,0
1400000US24005430200,"Census Tract 4302, Baltimore County, Maryland",1136,T1_HU$1400000US24005430200,1136,1136,0,0,0
1400000US24005430300,"Census Tract 4303, Baltimore County, Maryland",2119,null,2119,2119,0,0,0
1400000US24005430400,"Census Tract 4304, Baltimore County, Maryland",1724,T1_HU$1400000US24005430400,1724,1724,0,0,0
1400000US24005430600,"Census Tract 4306, Baltimore County, Maryland",940,null,940,940,0,0,0
1400000US24005430700,"Census Tract 4307, Baltimore County, Maryland",2109,null,2109,2109,0,0,0
1400000US24005430800,"Census Tract 4308, Baltimore County, Maryland",1537,null,1537,1537,0,0,0
1400000US24005430900,"Census Tract 4309, Baltimore County, Maryland",2253,null,2253,2253,0,0,0
1400000US24005440100,"Census Tract 4401, Baltimore County, Maryland",1874,null,1874,1874,0,0,0
1400000US24005440200,"Census Tract 4402, Baltimore County, Maryland",1140,null,1140,1140,0,0,0
1400000US24005440300,"Census Tract 4403, Baltimore County, Maryland",1001,null,1001,1001,0,0,0
1400000US24005440400,"Census Tract 4404, Baltimore County, Maryland",2180,T1_HU$1400000US24005440400,2180,2180,0,0,0
1400000US24005440500,"Census Tract 4405, Baltimore County, Maryland",1370,null,1370,1370,0,0,0
1400000US24005440600,"Census Tract 4406, Baltimore County, Maryland",775,null,775,775,0,0,0
1400000US24005440701,"Census Tract 4407.01, Baltimore County, Maryland",2646,null,2646,2646,0,0,0
1400000US24005440702,"Census Tract 4407.02, Baltimore County, Maryland",2448,null,2448,2448,0,0,0
1400000US24005440800,"Census Tract 4408, Baltimore County, Maryland",1265,null,1265,1265,0,0,0
1400000US24005440900,"Census Tract 4409, Baltimore County, Maryland",1461,null,1461,1461,0,0,0
1400000US24005441000,"Census Tract 4410, Baltimore County, Maryland",1344,null,1344,1344,0,0,0
1400000US24005441101,"Census Tract 4411.01, Baltimore County, Maryland",906,null,906,906,0,0,0
1400000US24005441102,"Census Tract 4411.02, Baltimore County, Maryland",1906,null,1906,1906,0,0,0
1400000US24005450100,"Census Tract 4501, Baltimore County, Maryland",1668,null,1668,1668,0,0,0
